SubjectIdIndex,NumWrong,NumTimeout,username,ServerTime,NumCorrect,TeamArrival,TeamCorrect,TeamDamage,TeamTotal,SI_Index,SI_DM_Index,SI_Role,SubjectId,reschuRun
796,0,0,Pilot     ,2024-09-26 10:34:32.933,0,8,1,0,9,796,292,Pilot                                             ,24,1
798,2,1,Nav       ,2024-09-26 10:41:39.127,4,10,4,0,14,798,293,Nav                                               ,23,2
799,0,0,Pilot     ,2024-09-26 10:41:39.143,0,10,4,0,14,799,293,Pilot                                             ,24,2
801,0,2,Nav       ,2024-09-26 10:49:32.147,6,12,6,0,18,801,294,Nav                                               ,23,3
802,0,0,Pilot     ,2024-09-26 10:49:32.160,0,12,6,0,18,802,294,Pilot                                             ,24,3
804,4,1,Nav       ,2024-09-26 11:01:51.343,3,12,3,2,13,804,295,Nav                                               ,23,4
805,0,0,Pilot     ,2024-09-26 11:01:51.357,0,12,3,2,13,805,295,Pilot                                             ,24,4
807,4,1,Nav       ,2024-09-26 11:08:34.513,6,15,6,2,19,807,296,Nav                                               ,23,5
808,0,0,Pilot     ,2024-09-26 11:08:34.527,0,15,6,2,19,808,296,Pilot                                             ,24,5
810,7,0,Nav       ,2024-09-26 11:15:32.793,4,14,4,2,16,810,297,Nav                                               ,23,6
811,0,0,Pilot     ,2024-09-26 11:15:32.810,0,14,4,2,16,811,297,Pilot                                             ,24,6
813,6,1,Nav       ,2024-09-26 11:24:32.597,6,15,6,0,21,813,298,Nav                                               ,23,7
814,0,0,Pilot     ,2024-09-26 11:24:32.610,0,15,6,0,21,814,298,Pilot                                             ,24,7
819,1,2,Nav       ,2024-09-26 14:05:59.453,3,7,3,0,10,819,300,Nav                                               ,25,0
820,0,0,Pilot     ,2024-09-26 14:05:59.467,0,7,3,0,10,820,300,Pilot                                             ,26,0
822,0,1,Pilot     ,2024-09-26 14:13:34.107,0,5,1,0,6,822,301,Pilot                                             ,26,1
823,0,3,Nav       ,2024-09-26 14:13:34.120,1,5,1,0,6,823,301,Nav                                               ,25,1
825,0,1,Nav       ,2024-09-26 14:20:20.900,4,6,4,8,2,825,302,Nav                                               ,25,2
826,0,0,Pilot     ,2024-09-26 14:20:20.917,0,6,4,8,2,826,302,Pilot                                             ,26,2
828,1,0,Nav       ,2024-09-26 14:26:56.670,9,10,9,0,19,828,303,Nav                                               ,25,3
829,0,0,Pilot     ,2024-09-26 14:26:56.687,0,10,9,0,19,829,303,Pilot                                             ,26,3
831,0,1,Nav       ,2024-09-26 14:38:41.963,6,9,6,0,15,831,304,Nav                                               ,25,4
832,0,0,Pilot     ,2024-09-26 14:38:41.980,0,9,6,0,15,832,304,Pilot                                             ,26,4
834,0,0,Pilot     ,2024-09-26 14:45:13.257,2,12,11,0,23,834,305,Pilot                                             ,26,5
835,0,0,Nav       ,2024-09-26 14:45:13.270,9,12,11,0,23,835,305,Nav                                               ,25,5
837,0,0,Pilot     ,2024-09-26 14:51:43.350,0,8,8,0,16,837,306,Pilot                                             ,26,6
838,0,0,Nav       ,2024-09-26 14:51:43.360,8,8,8,0,16,838,306,Nav                                               ,25,6
840,1,0,Pilot     ,2024-09-26 15:00:42.807,2,10,5,0,15,840,307,Pilot                                             ,26,7
841,2,2,Nav       ,2024-09-26 15:00:42.820,3,10,5,0,15,841,307,Nav                                               ,25,7
850,0,0,Nav       ,2024-09-27 11:12:47.197,6,8,6,0,14,850,311,Nav                                               ,27,0
851,0,0,Pilot     ,2024-09-27 11:12:47.210,0,8,6,0,14,851,311,Pilot                                             ,28,0
856,1,3,Nav       ,2024-09-27 11:26:04.930,2,8,2,2,8,856,313,Nav                                               ,27,1
857,0,0,Pilot     ,2024-09-27 11:26:04.947,0,8,2,2,8,857,313,Pilot                                             ,28,1
859,1,1,Nav       ,2024-09-27 11:33:15.510,9,13,9,0,22,859,314,Nav                                               ,27,2
860,0,0,Pilot     ,2024-09-27 11:33:15.520,0,13,9,0,22,860,314,Pilot                                             ,28,2
862,1,0,Nav       ,2024-09-27 11:40:35.267,7,11,7,4,14,862,315,Nav                                               ,27,3
863,0,0,Pilot     ,2024-09-27 11:40:35.280,0,11,7,4,14,863,315,Pilot                                             ,28,3
865,2,0,Nav       ,2024-09-27 11:52:16.953,5,10,5,0,15,865,316,Nav                                               ,27,4
866,0,0,Pilot     ,2024-09-27 11:52:16.970,0,10,5,0,15,866,316,Pilot                                             ,28,4
868,1,1,Nav       ,2024-09-27 11:58:51.490,7,13,7,2,18,868,317,Nav                                               ,27,5
869,0,0,Pilot     ,2024-09-27 11:58:51.507,0,13,7,2,18,869,317,Pilot                                             ,28,5
871,1,1,Nav       ,2024-09-27 12:05:24.450,7,10,7,0,17,871,318,Nav                                               ,27,6
872,0,0,Pilot     ,2024-09-27 12:05:24.467,0,10,7,0,17,872,318,Pilot                                             ,28,6
874,1,2,Nav       ,2024-09-27 12:15:24.303,7,12,7,0,19,874,319,Nav                                               ,27,7
875,0,0,Pilot     ,2024-09-27 12:15:24.317,0,12,7,0,19,875,319,Pilot                                             ,28,7
880,2,3,Nav       ,2024-10-01 10:43:44.010,3,8,3,2,9,880,321,Nav                                               ,29,0
881,0,0,Pilot     ,2024-10-01 10:43:44.023,0,8,3,2,9,881,321,Pilot                                             ,30,0
883,1,3,Nav       ,2024-10-01 10:53:42.617,4,11,4,2,13,883,322,Nav                                               ,29,1
884,0,1,Pilot     ,2024-10-01 10:53:42.630,0,11,4,2,13,884,322,Pilot                                             ,30,1
886,2,1,Nav       ,2024-10-01 11:00:35.490,6,10,6,4,12,886,323,Nav                                               ,29,2
887,0,0,Pilot     ,2024-10-01 11:00:35.503,0,10,6,4,12,887,323,Pilot                                             ,30,2
889,3,0,Nav       ,2024-10-01 11:07:21.297,5,10,5,2,13,889,324,Nav                                               ,29,3
890,0,0,Pilot     ,2024-10-01 11:07:21.310,0,10,5,2,13,890,324,Pilot                                             ,30,3
892,2,0,Nav       ,2024-10-01 11:18:59.443,6,11,6,2,15,892,325,Nav                                               ,29,4
893,0,0,Pilot     ,2024-10-01 11:18:59.460,0,11,6,2,15,893,325,Pilot                                             ,30,4
895,2,2,Nav       ,2024-10-01 11:25:39.057,5,13,5,4,14,895,326,Nav                                               ,29,5
896,0,0,Pilot     ,2024-10-01 11:25:39.070,0,13,5,4,14,896,326,Pilot                                             ,30,5
898,1,0,Nav       ,2024-10-01 11:32:02.583,7,11,7,0,18,898,327,Nav                                               ,29,6
899,0,0,Pilot     ,2024-10-01 11:32:02.597,0,11,7,0,18,899,327,Pilot                                             ,30,6
901,3,1,Nav       ,2024-10-01 11:38:30.890,7,14,7,4,17,901,328,Nav                                               ,29,7
902,0,0,Pilot     ,2024-10-01 11:38:30.907,0,14,7,4,17,902,328,Pilot                                             ,30,7
907,0,0,Nav       ,2024-10-01 14:03:00.700,1,3,1,4,0,907,330,Nav                                               ,31,0
908,0,0,Pilot     ,2024-10-01 14:03:00.717,0,3,1,4,0,908,330,Pilot                                             ,32,0
910,0,1,Pilot     ,2024-10-01 14:10:42.993,0,4,0,0,4,910,331,Pilot                                             ,32,1
911,1,0,Nav       ,2024-10-01 14:10:43.010,0,4,0,0,4,911,331,Nav                                               ,31,1
913,0,3,Nav       ,2024-10-01 14:17:59.050,2,6,2,0,8,913,332,Nav                                               ,31,2
