frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
49,  0,  0.800,  0.98,  1, 0.06, 0.00, 2.44, 0.21, 0.12, 0.90, 0.00, 0.00, 0.23, 0.08, 0.07, 0.11, 0.04, 0.18, 0.00, 0.21, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
50,  0,  0.817,  0.98,  1, 0.12, 0.00, 2.52, 0.15, 0.13, 1.07, 0.00, 0.00, 0.21, 0.10, 0.03, 0.15, 0.04, 0.16, 0.00, 0.21, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
51,  0,  0.833,  0.98,  1, 0.06, 0.00, 2.63, 0.07, 0.19, 1.03, 0.01, 0.00, 0.25, 0.06, 0.03, 0.11, 0.04, 0.15, 0.00, 0.23, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
52,  0,  0.850,  0.98,  1, 0.06, 0.00, 2.69, 0.02, 0.27, 1.02, 0.01, 0.00, 0.30, 0.02, 0.00, 0.04, 0.08, 0.16, 0.00, 0.25, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
53,  0,  0.867,  0.98,  1, 0.00, 0.00, 2.71, 0.00, 0.34, 0.92, 0.03, 0.00, 0.35, 0.00, 0.00, 0.00, 0.15, 0.15, 0.00, 0.32, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
54,  0,  0.883,  0.98,  1, 0.00, 0.00, 2.69, 0.02, 0.36, 0.82, 0.01, 0.00, 0.36, 0.00, 0.00, 0.00, 0.13, 0.11, 0.00, 0.30, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
55,  0,  0.900,  0.98,  1, 0.00, 0.00, 2.68, 0.02, 0.35, 0.75, 0.02, 0.00, 0.34, 0.00, 0.00, 0.00, 0.12, 0.06, 0.05, 0.29, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
56,  0,  0.917,  0.98,  1, 0.00, 0.00, 2.68, 0.03, 0.34, 0.69, 0.01, 0.00, 0.32, 0.00, 0.00, 0.00, 0.08, 0.02, 0.08, 0.25, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
57,  0,  0.933,  0.98,  1, 0.00, 0.00, 2.68, 0.01, 0.35, 0.74, 0.01, 0.00, 0.33, 0.00, 0.00, 0.04, 0.09, 0.02, 0.13, 0.27, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
58,  0,  0.950,  0.98,  1, 0.00, 0.00, 2.71, 0.01, 0.36, 0.76, 0.01, 0.00, 0.34, 0.00, 0.00, 0.08, 0.11, 0.01, 0.12, 0.23, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
