frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
50, 0, 1.633, 0.98, 1, 0.50, 0.36, 0.21, 0.48, -0.97, -0.18, 0.56, -0.53, -0.09, -0.17, 0.12, 0.65, 0.17, 0.60, 0.36, 0.32, 0.59, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
51, 0, 1.667, 0.98, 1, 0.48, 0.42, 0.19, 0.61, -0.96, -0.37, 0.52, -0.53, -0.10, -0.09, 0.28, 0.68, 0.07, 0.61, 0.37, 0.24, 0.88, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
52, 0, 1.700, 0.98, 1, 0.79, 0.35, 0.06, 0.46, -1.02, -0.30, 0.26, -0.56, -0.08, -0.21, 0.23, 0.71, 0.28, 0.43, 0.62, 0.14, 1.87, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0
53, 0, 1.733, 0.98, 1, 0.69, 0.42, 0.14, 0.33, -0.89, -0.65, 0.48, -0.55, -0.05, -0.34, 0.16, 0.69, 0.12, 0.33, 0.78, 0.11, 2.95, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0
54, 0, 1.767, 0.98, 1, 0.66, 0.43, 0.30, 0.46, -0.80, -0.52, 0.48, -0.53, -0.00, -0.22, 0.35, 0.67, 0.24, 0.34, 0.81, 0.05, 2.74, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0
55, 0, 1.800, 0.98, 1, 0.55, 0.30, 0.35, 0.34, -0.79, -0.38, 0.45, -0.61, -0.11, -0.36, 0.28, 0.65, 0.27, 0.40, 0.82, -0.09, 2.18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0
56, 0, 1.833, 0.98, 1, 0.38, 0.56, 0.36, 0.45, -0.77, 0.00, 0.55, -0.57, -0.10, -0.29, 0.28, 0.69, 0.18, 0.51, 0.55, -0.21, 1.35, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0
57, 0, 1.867, 0.98, 1, 0.40, 0.54, 0.23, 0.38, -0.84, -0.17, 0.51, -0.62, -0.08, -0.29, 0.11, 0.63, 0.17, 0.57, 0.51, 0.06, 1.13, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0
58, 0, 1.900, 0.98, 1, 0.38, 0.31, 0.05, 0.46, -0.84, -0.57, 0.25, -0.78, -0.09, -0.26, 0.01, 0.77, 0.48, 0.64, 0.39, 0.49, 0.80, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0
59, 0, 1.933, 0.98, 1, 0.35, 0.35, 0.11, 0.45, -0.83, -0.40, 0.34, -0.70, -0.06, -0.29, -0.14, 0.68, 0.20, 0.61, 0.50, 0.46, 0.99, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0
